"POINT (584908.879295589 9717458.84682593)"
"POINT (577566.360774945 9717184.92476578)"
"POINT (581799.629900979 9725366.45012395)"
"POINT (581371.582001237 9725201.5392167)"
"POINT (581436.859902726 9724776.82892561)"
"POINT (581588.102707847 9724892.33274416)"
"POINT (581690.071529904 9724803.15001296)"
"POINT (578631.16845349 9723217.23990483)"
"POINT (576758.243310712 9722837.36709156)"
"POINT (576724.821798312 9722872.28676039)"
"POINT (577328.798455708 9724262.05277865)"
"POINT (577496.183580848 9724353.20055659)"
"POINT (577703.392636925 9724476.11010665)"
"POINT (578069.759679888 9724437.28787178)"
"POINT (580681.110525163 9723712.94418327)"
"POINT (580142.442640475 9724366.36864276)"
"POINT (580190.220204671 9724366.47884426)"
"POINT (580542.753767285 9723907.38795931)"
"POINT (584024.477358689 9725116.25837671)"
"POINT (584022.631728462 9725216.53559297)"
"POINT (589381.718957554 9719593.90212749)"
"POINT (589293.167004156 9719569.55650414)"
"POINT (589328.274400171 9719625.02538044)"
"POINT (588960.690582098 9719590.17724159)"
"POINT (589016.852950928 9719547.9084629)"
"POINT (589084.547388563 9719661.85958305)"
"POINT (589109.921643727 9719545.41996011)"
"POINT (589055.65159354 9719999.64688958)"
"POINT (586051.437760739 9717119.84130142)"
"POINT (591178.019422378 9713698.03412046)"
"POINT (590722.994108337 9713322.72779364)"
"POINT (590401.567139389 9713191.52714922)"
"POINT (586228.035638731 9716154.40231522)"
"POINT (587269.439804388 9714431.93897595)"
"POINT (587191.071000127 9714335.79399143)"
"POINT (587144.065517169 9713900.59355418)"
"POINT (589083.628630236 9712637.82321272)"
"POINT (588470.072800299 9710743.34518149)"
"POINT (588445.727646418 9710842.99997112)"
"POINT (588503.284070686 9710753.03971494)"
"POINT (588092.615268768 9710681.25000564)"
"POINT (588569.084143627 9710679.6468611)"
"POINT (588755.709421668 9710714.45320116)"
"POINT (588666.828973307 9710771.03462452)"
"POINT (588300.182291801 9711341.61185248)"
"POINT (588584.126675222 9711560.27998268)"
"POINT (588556.099957317 9711592.36158308)"
"POINT (588485.935210197 9711531.41585604)"
"POINT (588501.780173915 9711188.72724024)"
"POINT (588824.300270822 9710808.47737622)"
"POINT (588974.471004557 9710884.00109362)"
"POINT (588946.986483243 9711008.50723141)"
"POINT (588823.070588278 9711193.15929296)"
"POINT (588858.284195898 9711153.4759736)"
"POINT (588991.479853514 9711100.22488916)"
"POINT (589108.814669809 9711200.93709595)"
"POINT (589251.467612404 9711058.67826202)"
"POINT (589025.20260539 9711620.07030568)"
"POINT (589456.173186068 9711746.53648832)"
"POINT (589389.763371867 9712187.90309401)"
"POINT (589112.27495164 9711875.47130457)"
"POINT (588757.42626945 9711585.89535317)"
"POINT (588854.746479377 9711613.11394723)"
"POINT (588856.253522461 9711720.20911968)"
"POINT (588838.843283862 9711721.96599168)"
"POINT (588813.410928162 9711836.41017551)"
"POINT (588711.824543126 9711988.6080771)"
"POINT (588622.270401223 9711887.95196917)"
"POINT (588555.468600412 9711871.37360845)"
"POINT (588609.097636095 9711713.18869109)"
"POINT (588319.620198466 9711533.72507594)"
"POINT (588399.988056116 9711603.29484534)"
"POINT (587596.208379169 9711808.43847285)"
"POINT (587704.208897496 9712172.4977624)"
"POINT (587775.029412592 9712144.94818642)"
"POINT (587901.544954894 9712154.57094156)"
"POINT (587898.790954503 9712094.97261021)"
"POINT (587875.120234733 9712229.99817936)"
"POINT (587864.045450142 9712250.6277358)"
"POINT (587797.929368944 9712207.49826144)"
"POINT (587781.949112718 9712240.83228631)"
"POINT (587951.228001096 9712375.70499247)"
"POINT (587974.57642222 9712615.80910969)"
